"","x"
"155",2015-12-14 17:12:01
"156",2015-12-14 17:27:01
"157",2015-12-14 17:37:00
"158",2015-12-14 17:42:02
"159",2015-12-14 17:47:01
"160",2015-12-14 17:57:00
"161",2015-12-14 18:06:02
"162",2015-12-14 18:07:01
"163",2015-12-14 18:07:02
"164",2015-12-14 18:12:02
"165",2015-12-14 18:12:02
"166",2015-12-14 18:17:00
"167",2015-12-14 18:22:02
"168",2015-12-14 18:22:02
"169",2015-12-14 18:26:01
"170",2015-12-14 18:27:00
"171",2015-12-14 18:27:00
"172",2015-12-14 18:27:01
"173",2015-12-14 18:31:01
"174",2015-12-14 18:32:02
"175",2015-12-14 18:32:02
"176",2015-12-14 18:37:00
"177",2015-12-14 18:51:01
"178",2015-12-14 18:57:02
"179",2015-12-14 18:57:02
"180",2015-12-14 19:12:02
"181",2015-12-14 19:22:01
"182",2015-12-14 19:27:01
"183",2015-12-14 19:32:01
"184",2015-12-14 19:47:01
"185",2015-12-14 20:02:02
"186",2015-12-14 20:07:01
"187",2015-12-14 20:12:02
"188",2015-12-14 20:12:02
"189",2015-12-14 20:32:02
"190",2015-12-14 20:32:02
"191",2015-12-14 20:42:00
"192",2015-12-14 20:42:00
"193",2015-12-14 20:47:01
"194",2015-12-14 20:52:02
"195",2015-12-14 20:57:01
"196",2015-12-14 21:02:01
"197",2015-12-14 21:07:01
"198",2015-12-14 21:12:02
"199",2015-12-14 21:37:00
"200",2015-12-14 21:42:02
"201",2015-12-14 21:42:02
"202",2015-12-14 21:52:02
"203",2015-12-14 21:52:02
"204",2015-12-14 21:56:02
"205",2015-12-14 21:57:00
"206",2015-12-14 22:06:01
"207",2015-12-14 22:07:00
"208",2015-12-14 22:17:01
"209",2015-12-14 22:21:01
"210",2015-12-14 22:22:02
"211",2015-12-14 22:27:01
"212",2015-12-14 22:52:02
"213",2015-12-14 22:52:02
"214",2015-12-14 22:57:02
"215",2015-12-14 23:02:00
"216",2015-12-14 23:02:01
"217",2015-12-14 23:12:03
"218",2015-12-14 23:16:03
"219",2015-12-14 23:27:02
"220",2015-12-14 23:37:01
"221",2015-12-14 23:47:01
"222",2015-12-14 23:57:01
"223",2015-12-15 00:12:01
"224",2015-12-15 00:16:02
"225",2015-12-15 00:47:01
"226",2015-12-15 01:12:02
"227",2015-12-15 01:12:02
"228",2015-12-15 01:12:03
"229",2015-12-15 01:22:01
"230",2015-12-15 01:42:02
"231",2015-12-15 01:47:01
"232",2015-12-15 01:47:01
"233",2015-12-15 02:02:02
"234",2015-12-15 02:11:01
"235",2015-12-15 02:26:02
"236",2015-12-15 03:07:01
"237",2015-12-15 03:17:01
"238",2015-12-15 03:41:00
"239",2015-12-15 03:57:02
"240",2015-12-15 04:01:03
"241",2015-12-15 04:02:02
"242",2015-12-15 04:02:03
"243",2015-12-15 04:12:01
"244",2015-12-15 04:17:01
"245",2015-12-15 04:27:01
"246",2015-12-15 04:31:01
"247",2015-12-15 04:37:00
"248",2015-12-15 04:42:00
"249",2015-12-15 04:57:01
"250",2015-12-15 05:07:00
"251",2015-12-15 05:22:02
"252",2015-12-15 05:27:01
"253",2015-12-15 05:37:01
"254",2015-12-15 05:42:03
"255",2015-12-15 05:52:00
"256",2015-12-15 06:37:01
"257",2015-12-15 06:52:02
"258",2015-12-15 07:07:00
"259",2015-12-15 07:52:02
"260",2015-12-15 07:52:02
"261",2015-12-15 07:57:01
"262",2015-12-15 07:57:02
"263",2015-12-15 08:17:00
"264",2015-12-15 08:46:00
"265",2015-12-15 08:52:02
"266",2015-12-15 08:52:02
"267",2015-12-15 08:57:01
"268",2015-12-15 09:02:03
"269",2015-12-15 09:07:01
"270",2015-12-15 09:17:01
"271",2015-12-15 09:17:01
"272",2015-12-15 09:21:00
"273",2015-12-15 09:22:01
"274",2015-12-15 09:27:03
"275",2015-12-15 09:36:03
"276",2015-12-15 09:37:00
"277",2015-12-15 09:37:01
"278",2015-12-15 09:47:02
"279",2015-12-15 09:52:02
"280",2015-12-15 09:57:01
"281",2015-12-15 09:57:02
"282",2015-12-15 09:57:02
"283",2015-12-15 10:02:02
"284",2015-12-15 10:11:00
"285",2015-12-15 10:22:03
"286",2015-12-15 10:32:01
"287",2015-12-15 10:37:01
"288",2015-12-15 10:37:01
"289",2015-12-15 10:42:03
"290",2015-12-15 10:47:01
"291",2015-12-15 10:47:01
"292",2015-12-15 10:56:02
"293",2015-12-15 10:57:01
"294",2015-12-15 10:57:02
"295",2015-12-15 11:01:00
"296",2015-12-15 11:02:00
"297",2015-12-15 11:07:01
"298",2015-12-15 11:12:01
"299",2015-12-15 11:12:02
"300",2015-12-15 11:22:02
"301",2015-12-15 11:22:03
"302",2015-12-15 11:22:03
"303",2015-12-15 11:22:03
"304",2015-12-15 11:22:04
"305",2015-12-15 11:27:01
"306",2015-12-15 11:31:01
"307",2015-12-15 11:32:00
"308",2015-12-15 11:36:03
"309",2015-12-15 11:37:01
"310",2015-12-15 11:37:01
"311",2015-12-15 11:37:02
"312",2015-12-15 11:47:00
"313",2015-12-15 11:47:01
"314",2015-12-15 11:52:02
"315",2015-12-15 11:57:00
"316",2015-12-15 11:57:00
"317",2015-12-15 12:02:03
"318",2015-12-15 12:12:00
"319",2015-12-15 12:17:01
"320",2015-12-15 12:27:04
"321",2015-12-15 12:32:03
"322",2015-12-15 12:36:02
"323",2015-12-15 12:37:00
"324",2015-12-15 12:52:00
"325",2015-12-15 12:57:00
"326",2015-12-15 12:57:01
"327",2015-12-15 13:07:02
"328",2015-12-15 13:12:02
"329",2015-12-15 13:16:02
"330",2015-12-15 13:17:00
"331",2015-12-15 13:22:00
"332",2015-12-15 13:27:01
"333",2015-12-15 13:47:00
"334",2015-12-15 13:47:01
"335",2015-12-15 13:47:02
"336",2015-12-15 13:57:00
"337",2015-12-15 13:57:00
"338",2015-12-15 14:02:01
"339",2015-12-15 14:07:01
"340",2015-12-15 14:12:01
"341",2015-12-15 14:17:01
"342",2015-12-15 14:27:00
"343",2015-12-15 14:37:01
"344",2015-12-15 14:42:02
"345",2015-12-15 14:42:02
"346",2015-12-15 14:46:01
"347",2015-12-15 14:52:02
"348",2015-12-15 14:57:01
"349",2015-12-15 15:02:00
"350",2015-12-15 15:12:00
"351",2015-12-15 15:27:01
"352",2015-12-15 15:27:01
"353",2015-12-15 15:37:01
"354",2015-12-15 15:41:01
"355",2015-12-15 16:02:01
"356",2015-12-15 16:17:01
"357",2015-12-15 16:22:02
"358",2015-12-15 16:27:01
"359",2015-12-15 16:42:01
"360",2015-12-15 16:42:02
"361",2015-12-15 16:52:00
"362",2015-12-15 16:52:01
"363",2015-12-15 17:02:02
"364",2015-12-15 17:12:00
"365",2015-12-15 17:21:01
"366",2015-12-15 17:27:01
"367",2015-12-15 17:42:02
"368",2015-12-15 17:42:03
"369",2015-12-15 17:47:01
"370",2015-12-15 17:52:02
"371",2015-12-15 18:02:00
"372",2015-12-15 18:06:01
"373",2015-12-15 18:07:00
"374",2015-12-15 18:12:02
"375",2015-12-15 18:27:01
"376",2015-12-15 18:42:02
"377",2015-12-15 18:52:00
"378",2015-12-15 19:02:00
"379",2015-12-15 19:02:01
"380",2015-12-15 19:07:01
"381",2015-12-15 19:16:03
"382",2015-12-15 19:17:01
"383",2015-12-15 19:32:00
"384",2015-12-15 19:32:02
"385",2015-12-15 19:32:03
"386",2015-12-15 19:32:03
"387",2015-12-15 19:32:03
"388",2015-12-15 19:32:03
"389",2015-12-15 19:42:02
"390",2015-12-15 19:42:02
"391",2015-12-15 20:11:02
"392",2015-12-15 20:12:02
"393",2015-12-15 20:17:01
"394",2015-12-15 20:17:02
"395",2015-12-15 20:31:01
"396",2015-12-15 20:37:01
"397",2015-12-15 20:42:00
"398",2015-12-15 20:47:01
"399",2015-12-15 21:06:01
"400",2015-12-15 21:07:01
"401",2015-12-15 21:37:01
"402",2015-12-15 21:37:01
"403",2015-12-15 21:42:03
"404",2015-12-15 21:52:02
"405",2015-12-15 22:01:02
"406",2015-12-15 22:02:00
"407",2015-12-15 22:02:00
"408",2015-12-15 22:07:00
"409",2015-12-15 22:07:01
"410",2015-12-15 22:17:01
"411",2015-12-15 22:32:02
"412",2015-12-15 22:32:02
"413",2015-12-15 22:37:01
"414",2015-12-15 22:41:01
"415",2015-12-15 22:57:00
"416",2015-12-15 23:22:00
"417",2015-12-15 23:56:00
"418",2015-12-16 01:22:01
"419",2015-12-16 01:46:02
"420",2015-12-16 01:47:01
"421",2015-12-16 01:57:00
"422",2015-12-16 02:22:00
"423",2015-12-16 02:27:00
"424",2015-12-16 02:36:03
"425",2015-12-16 02:37:01
"426",2015-12-16 02:47:01
"427",2015-12-16 02:52:03
"428",2015-12-16 03:07:01
"429",2015-12-16 03:22:01
"430",2015-12-16 03:37:03
"431",2015-12-16 03:57:01
"432",2015-12-16 04:17:03
"433",2015-12-16 04:56:02
"434",2015-12-16 05:07:03
"435",2015-12-16 05:16:00
"436",2015-12-16 05:22:02
"437",2015-12-16 05:32:02
"438",2015-12-16 05:47:01
"439",2015-12-16 05:52:02
"440",2015-12-16 06:11:00
"441",2015-12-16 06:17:00
"442",2015-12-16 06:17:01
"443",2015-12-16 06:22:01
"444",2015-12-16 06:27:01
"445",2015-12-16 06:42:00
"446",2015-12-16 06:52:02
"447",2015-12-16 06:57:01
"448",2015-12-16 07:07:00
"449",2015-12-16 07:17:01
"450",2015-12-16 07:17:01
"451",2015-12-16 07:32:02
"452",2015-12-16 07:32:02
"453",2015-12-16 07:37:01
"454",2015-12-16 07:57:01
"455",2015-12-16 07:57:01
"456",2015-12-16 07:57:02
"457",2015-12-16 08:01:00
"458",2015-12-16 08:02:02
"459",2015-12-16 08:07:01
"460",2015-12-16 08:32:03
"461",2015-12-16 08:32:03
"462",2015-12-16 08:52:00
"463",2015-12-16 08:57:00
"464",2015-12-16 09:02:00
"465",2015-12-16 09:07:01
"466",2015-12-16 09:07:01
"467",2015-12-16 09:12:00
"468",2015-12-16 09:17:01
"469",2015-12-16 09:27:01
"470",2015-12-16 09:32:02
"471",2015-12-16 09:51:01
"472",2015-12-16 09:57:01
"473",2015-12-16 09:57:01
"474",2015-12-16 10:01:01
"475",2015-12-16 10:07:00
"476",2015-12-16 10:07:01
"477",2015-12-16 10:07:01
"478",2015-12-16 10:12:01
"479",2015-12-16 10:17:01
"480",2015-12-16 10:17:01
"481",2015-12-16 10:32:01
"482",2015-12-16 10:32:03
"483",2015-12-16 10:37:01
"484",2015-12-16 10:42:02
"485",2015-12-16 10:42:03
"486",2015-12-16 10:47:00
"487",2015-12-16 10:47:01
"488",2015-12-16 10:51:01
"489",2015-12-16 10:52:02
"490",2015-12-16 11:02:02
"491",2015-12-16 11:07:00
"492",2015-12-16 11:12:00
"493",2015-12-16 11:12:00
"494",2015-12-16 11:22:00
"495",2015-12-16 11:27:01
"496",2015-12-16 11:27:01
"497",2015-12-16 11:37:01
"498",2015-12-16 11:47:00
"499",2015-12-16 11:57:00
"500",2015-12-16 12:02:00
"501",2015-12-16 12:02:02
"502",2015-12-16 12:07:01
"503",2015-12-16 12:07:01
"504",2015-12-16 12:12:00
"505",2015-12-16 12:17:00
"506",2015-12-16 12:17:00
"507",2015-12-16 12:22:02
"508",2015-12-16 12:22:02
"509",2015-12-16 12:22:03
"510",2015-12-16 12:52:00
"511",2015-12-16 13:02:00
"512",2015-12-16 13:02:01
"513",2015-12-16 13:12:00
"514",2015-12-16 13:22:00
"515",2015-12-16 13:31:01
"516",2015-12-16 13:41:01
"517",2015-12-16 13:42:00
"518",2015-12-16 13:42:02
"519",2015-12-16 13:46:02
"520",2015-12-16 13:47:01
"521",2015-12-16 13:47:01
"522",2015-12-16 13:52:00
"523",2015-12-16 13:52:00
"524",2015-12-16 13:57:02
"525",2015-12-16 14:02:01
"526",2015-12-16 14:02:02
"527",2015-12-16 14:02:02
"528",2015-12-16 14:07:00
"529",2015-12-16 14:27:00
"530",2015-12-16 14:27:00
"531",2015-12-16 14:32:01
"532",2015-12-16 14:36:00
"533",2015-12-16 14:37:01
"534",2015-12-16 14:37:01
"535",2015-12-16 14:47:01
"536",2015-12-16 14:57:00
"537",2015-12-16 14:57:01
"538",2015-12-16 15:16:02
"539",2015-12-16 15:37:01
"540",2015-12-16 15:42:01
"541",2015-12-16 16:12:01
"542",2015-12-16 16:17:01
"543",2015-12-16 16:17:01
"544",2015-12-16 16:27:01
"545",2015-12-16 16:27:02
"546",2015-12-16 16:27:02
"547",2015-12-16 16:32:01
"548",2015-12-16 16:32:02
"549",2015-12-16 16:32:02
"550",2015-12-16 16:47:02
"551",2015-12-16 16:47:02
"552",2015-12-16 16:47:03
"553",2015-12-16 16:57:01
"554",2015-12-16 17:02:02
"555",2015-12-16 17:07:01
"556",2015-12-16 17:27:01
"557",2015-12-16 17:27:02
"558",2015-12-16 17:27:02
"559",2015-12-16 17:32:03
"560",2015-12-16 17:37:00
"561",2015-12-16 17:42:01
"562",2015-12-16 17:42:02
"563",2015-12-16 17:47:01
"564",2015-12-16 17:57:00
"565",2015-12-16 18:16:01
"566",2015-12-16 18:17:00
"567",2015-12-16 18:22:02
"568",2015-12-16 18:22:02
"569",2015-12-16 18:42:03
"570",2015-12-16 18:46:02
"571",2015-12-16 19:12:02
"572",2015-12-16 19:21:01
"573",2015-12-16 19:27:00
"574",2015-12-16 19:36:00
"575",2015-12-16 19:52:03
"576",2015-12-16 19:57:01
"577",2015-12-16 20:02:03
"578",2015-12-16 20:07:01
"579",2015-12-16 20:07:01
"580",2015-12-16 20:12:00
"581",2015-12-16 20:12:02
"582",2015-12-16 20:12:03
"583",2015-12-16 20:21:01
"584",2015-12-16 20:31:01
"585",2015-12-16 20:37:01
"586",2015-12-16 20:37:01
"587",2015-12-16 20:51:01
"588",2015-12-16 20:52:01
"589",2015-12-16 20:52:02
"590",2015-12-16 20:52:03
"591",2015-12-16 20:52:03
"592",2015-12-16 21:07:00
"593",2015-12-16 21:12:03
"594",2015-12-16 21:27:01
"595",2015-12-16 21:32:03
"596",2015-12-16 21:37:00
"597",2015-12-16 21:41:00
"598",2015-12-16 22:07:01
"599",2015-12-16 22:12:00
"600",2015-12-16 22:17:01
"601",2015-12-16 22:17:01
"602",2015-12-16 22:22:00
"603",2015-12-16 22:32:03
"604",2015-12-16 22:32:03
"605",2015-12-16 22:47:00
"606",2015-12-16 23:02:02
"607",2015-12-16 23:07:01
"608",2015-12-16 23:37:01
"609",2015-12-16 23:37:01
"610",2015-12-17 00:17:01
"611",2015-12-17 00:22:00
"612",2015-12-17 00:27:00
"613",2015-12-17 00:27:01
"614",2015-12-17 00:31:01
"615",2015-12-17 00:47:01
"616",2015-12-17 01:07:01
"617",2015-12-17 01:22:01
"618",2015-12-17 01:51:01
"619",2015-12-17 01:51:01
"620",2015-12-17 01:52:00
"621",2015-12-17 02:07:01
"622",2015-12-17 02:42:02
"623",2015-12-17 03:32:00
"624",2015-12-17 03:47:02
"625",2015-12-17 04:27:00
"626",2015-12-17 04:57:01
"627",2015-12-17 05:47:01
"628",2015-12-17 05:47:01
"629",2015-12-17 05:47:01
"630",2015-12-17 06:12:00
"631",2015-12-17 06:32:02
"632",2015-12-17 06:57:04
"633",2015-12-17 07:27:01
"634",2015-12-17 07:32:00
"635",2015-12-17 07:47:01
"636",2015-12-17 07:57:01
"637",2015-12-17 07:57:01
"638",2015-12-17 08:02:00
"639",2015-12-17 08:12:01
"640",2015-12-17 08:12:02
"641",2015-12-17 08:12:02
"642",2015-12-17 08:17:01
"643",2015-12-17 08:17:01
"644",2015-12-17 08:32:00
"645",2015-12-17 08:37:00
"646",2015-12-17 08:42:02
"647",2015-12-17 08:42:02
"648",2015-12-17 08:47:01
"649",2015-12-17 08:52:02
"650",2015-12-17 08:57:00
"651",2015-12-17 09:02:01
"652",2015-12-17 09:06:00
"653",2015-12-17 09:12:00
"654",2015-12-17 09:17:00
"655",2015-12-17 09:22:03
"656",2015-12-17 09:37:00
"657",2015-12-17 09:37:01
"658",2015-12-17 09:47:01
"659",2015-12-17 09:47:03
"660",2015-12-17 09:51:00
"661",2015-12-17 09:57:01
"662",2015-12-17 09:57:01
"663",2015-12-17 10:02:02
"664",2015-12-17 10:12:01
"665",2015-12-17 10:26:02
"666",2015-12-17 10:32:01
"667",2015-12-17 10:42:02
"668",2015-12-17 10:52:00
"669",2015-12-17 11:02:00
"670",2015-12-17 11:02:01
"671",2015-12-17 11:11:00
"672",2015-12-17 11:17:00
"673",2015-12-17 11:27:01
"674",2015-12-17 11:31:01
"675",2015-12-17 11:37:01
"676",2015-12-17 11:42:00
"677",2015-12-17 12:02:02
"678",2015-12-17 12:07:00
"679",2015-12-17 12:22:01
"680",2015-12-17 12:22:02
"681",2015-12-17 12:32:02
"682",2015-12-17 12:32:03
"683",2015-12-17 12:32:03
"684",2015-12-17 12:36:00
"685",2015-12-17 12:47:01
"686",2015-12-17 12:57:01
"687",2015-12-17 13:07:01
"688",2015-12-17 13:12:00
"689",2015-12-17 13:12:00
"690",2015-12-17 13:22:02
"691",2015-12-17 13:26:02
"692",2015-12-17 13:27:01
"693",2015-12-17 13:32:02
"694",2015-12-17 13:32:02
"695",2015-12-17 13:37:01
"696",2015-12-17 13:42:02
"697",2015-12-17 13:46:02
"698",2015-12-17 13:47:00
"699",2015-12-17 13:56:02
"700",2015-12-17 14:02:01
"701",2015-12-17 14:07:01
"702",2015-12-17 14:07:01
"703",2015-12-17 14:07:02
"704",2015-12-17 14:07:02
"705",2015-12-17 14:12:02
"706",2015-12-17 14:17:01
"707",2015-12-17 14:22:03
"708",2015-12-17 14:37:01
"709",2015-12-17 14:37:01
"710",2015-12-17 14:52:00
"711",2015-12-17 14:52:01
"712",2015-12-17 14:57:01
"713",2015-12-17 15:06:02
"714",2015-12-17 15:27:01
"715",2015-12-17 15:32:01
"716",2015-12-17 15:36:02
"717",2015-12-17 16:02:00
"718",2015-12-17 16:02:01
"719",2015-12-17 16:12:02
"720",2015-12-17 16:22:00
"721",2015-12-17 16:27:01
"722",2015-12-17 16:42:02
"723",2015-12-17 16:42:02
"724",2015-12-17 16:47:01
"725",2015-12-17 16:47:01
"726",2015-12-17 17:12:00
"727",2015-12-17 17:12:01
"728",2015-12-17 17:12:01
"729",2015-12-17 17:22:02
"730",2015-12-17 17:22:02
"731",2015-12-17 17:32:02
"732",2015-12-17 17:32:02
"733",2015-12-17 17:52:02
"734",2015-12-17 18:02:03
"735",2015-12-17 18:02:03
"736",2015-12-17 18:02:03
"737",2015-12-17 18:12:00
"738",2015-12-17 18:12:00
"739",2015-12-17 18:17:01
"740",2015-12-17 18:22:01
"741",2015-12-17 18:32:02
"742",2015-12-17 18:32:03
"743",2015-12-17 18:32:03
"744",2015-12-17 18:32:03
"745",2015-12-17 18:37:01
"746",2015-12-17 18:52:03
"747",2015-12-17 18:52:03
"748",2015-12-17 19:02:03
"749",2015-12-17 19:07:01
"750",2015-12-17 19:12:02
"751",2015-12-17 19:17:01
"752",2015-12-17 19:22:03
"753",2015-12-17 19:42:02
"754",2015-12-17 19:47:00
"755",2015-12-17 20:12:02
"756",2015-12-17 20:16:03
"757",2015-12-17 20:17:00
"758",2015-12-17 20:17:01
"759",2015-12-17 20:42:05
"760",2015-12-17 20:56:02
"761",2015-12-17 20:56:02
"762",2015-12-17 20:57:01
"763",2015-12-17 21:16:02
"764",2015-12-17 21:16:02
"765",2015-12-17 21:17:01
"766",2015-12-17 21:22:02
"767",2015-12-17 21:26:02
"768",2015-12-17 21:27:00
"769",2015-12-17 21:32:00
"770",2015-12-17 21:42:02
"771",2015-12-17 21:52:02
"772",2015-12-17 21:57:01
"773",2015-12-17 22:01:00
"774",2015-12-17 22:06:01
"775",2015-12-17 22:42:00
"776",2015-12-18 07:11:03
"777",2015-12-18 07:11:04
"778",2015-12-18 07:12:02
"779",2015-12-18 07:31:01
"780",2015-12-18 07:39:01
"781",2015-12-18 07:52:02
"782",2015-12-18 08:04:01
"783",2015-12-18 08:07:00
"784",2015-12-18 08:22:00
"785",2015-12-18 08:22:02
"786",2015-12-18 08:37:01
"787",2015-12-18 08:37:01
"788",2015-12-18 08:42:03
"789",2015-12-18 08:47:00
"790",2015-12-18 08:57:02
"791",2015-12-18 09:02:02
"792",2015-12-18 09:06:02
"793",2015-12-18 09:17:01
"794",2015-12-18 09:21:01
"795",2015-12-18 09:42:02
"796",2015-12-18 09:42:02
"797",2015-12-18 09:57:01
"798",2015-12-18 09:57:01
"799",2015-12-18 10:02:02
"800",2015-12-18 10:12:00
"801",2015-12-18 10:17:01
"802",2015-12-18 10:22:02
"803",2015-12-18 10:27:01
"804",2015-12-18 10:31:03
"805",2015-12-18 10:32:02
"806",2015-12-18 10:37:01
"807",2015-12-18 10:47:03
"808",2015-12-18 10:47:03
"809",2015-12-18 10:51:01
"810",2015-12-18 10:52:00
"811",2015-12-18 11:01:00
"812",2015-12-18 11:02:02
"813",2015-12-18 11:07:01
"814",2015-12-18 11:22:02
"815",2015-12-18 11:22:03
"816",2015-12-18 11:22:03
"817",2015-12-18 11:27:00
"818",2015-12-18 11:27:00
"819",2015-12-18 11:37:00
"820",2015-12-18 11:37:01
"821",2015-12-18 11:52:00
"822",2015-12-18 11:52:02
"823",2015-12-18 11:52:02
"824",2015-12-18 12:02:02
"825",2015-12-18 12:07:00
"826",2015-12-18 12:11:00
"827",2015-12-18 12:17:01
"828",2015-12-18 12:17:02
"829",2015-12-18 12:27:02
"830",2015-12-18 12:42:00
"831",2015-12-18 12:47:00
"832",2015-12-18 12:52:00
"833",2015-12-18 12:57:00
"834",2015-12-18 13:02:03
"835",2015-12-18 13:07:00
"836",2015-12-18 13:17:01
"837",2015-12-18 13:22:00
"838",2015-12-18 13:26:01
"839",2015-12-18 13:27:00
"840",2015-12-18 13:27:00
"841",2015-12-18 13:42:01
"842",2015-12-18 13:46:00
"843",2015-12-18 13:47:01
"844",2015-12-18 13:52:01
"845",2015-12-18 13:52:02
"846",2015-12-18 13:56:01
"847",2015-12-18 14:01:01
"848",2015-12-18 14:07:01
"849",2015-12-18 14:12:01
"850",2015-12-18 14:16:01
"851",2015-12-18 14:17:00
"852",2015-12-18 14:17:00
"853",2015-12-18 14:22:01
"854",2015-12-18 14:27:02
"855",2015-12-18 14:32:01
"856",2015-12-18 14:32:01
"857",2015-12-18 14:32:01
"858",2015-12-18 14:37:01
"859",2015-12-18 14:52:01
"860",2015-12-18 15:02:01
"861",2015-12-18 15:02:01
"862",2015-12-18 15:07:00
"863",2015-12-18 15:07:00
"864",2015-12-18 15:22:02
"865",2015-12-18 15:32:00
"866",2015-12-18 15:32:00
"867",2015-12-18 15:37:00
"868",2015-12-18 15:42:00
"869",2015-12-18 15:57:01
"870",2015-12-18 16:01:01
"871",2015-12-18 16:06:01
"872",2015-12-18 16:07:00
"873",2015-12-18 16:17:01
"874",2015-12-18 16:22:00
